01-01-2025,expense,400,food,Junk Food
02-01-2025,income,5500,salary,Monthly Salary
03-01-2025,expense,30,food,Grocery Shopping
04-01-2025,expense,40,transportation,Uber Ride
05-01-2025,income,500,freelance,Website Design Project
06-01-2025,income,250,entertainment,Movie Tickets
07-01-2025,expense,1000,shopping,New Clothes
08-01-2025,expense,5500,food,Restaurant Dinner
09-01-2025,income,30,utilities,Electricity Bill
10-01-2025,income,40,transportation,Bus Pass
11-01-2025,expense,500,investment,Dividend Payment
12-01-2025,expense,250,healthcare,Doctor Visit
13-01-2025,income,1000,food,Weekly Groceries
14-01-2025,income,5500,entertainment,Netflix Subscription
15-01-2025,expense,30,transportation,Gas Station
16-01-2025,expense,40,shopping,Online Purchase
17-01-2025,income,500,food,Coffee Shop
18-01-2025,income,250,salary,Monthly Salary
19-01-2025,expense,1000,food,Grocery Shopping
20-01-2025,expense,5500,transportation,Uber Ride
21-01-2025,income,30,freelance,Website Design Project
22-01-2025,income,40,entertainment,Movie Tickets
23-01-2025,expense,500,shopping,New Clothes
24-01-2025,expense,250,food,Restaurant Dinner
25-01-2025,income,1000,utilities,Electricity Bill
26-01-2025,income,5500,transportation,Bus Pass
27-01-2025,expense,30,investment,Dividend Payment
28-01-2025,expense,40,healthcare,Doctor Visit
29-01-2025,income,500,food,Weekly Groceries
30-01-2025,income,250,entertainment,Netflix Subscription
31-01-2025,expense,o,transportation,Gas Station
